PlayerID,Occupation,Name,MatchedSocCode,MatchedSocCore,MatchedSocTitle
4906,software test engineer,Mike Milligan,17-MiscEngineer,MiscEngineer,Engineer
1967,astronomer,Marsha Allen,19-2011,Astronomers,Astronomer
7559,fund-raising consultant,Will Valverde,False,,
7558,student and waiter,Mark Runsvold,MiscStudent,MiscStudent,Student
7553,junior at Boston University,Erin McLean,TournJunior,TournStudent,Junior
7552,writer,John Krizel,27-Writer,MiscWriter,Writer
7551,geotechnical engineer,Tom Kunzen,17-MiscEngineer,MiscEngineer,Engineer
7550,college physics teacher,Joon Pahk,25-MiscTeacher,Teacher,Teacher
7557,pub trivia editor,Christopher Short,False,,
7556,urologist,Justin Sausville,29-1069,"Physicians and Surgeons, All Other",Urologist
7555,operations engineer,Buddy Wright,17-MiscEngineer,MiscEngineer,Engineer
7554,online marketing producer,Paul Kursky,False,,
4174,motorized messenger,Dana Hernandez,False,,
4175,event producer,Matt Thompson,False,,
4176,high school teacher and administrator,Linda Lipkin,25-MiscTeacher,Teacher,Teacher
4177,teaching assistant,Sara Price,False,,
4170,graphic designer,Erica Endicott,27-1024,Graphic Designers,Graphic Designer
4171,masonry restoration specialist,Donal Coomey,False,,
4172,computer programmer,Rob Storrs,15-1131,Computer Programmers,Computer Programmer
4173,registered nurse,Jane Mesereau,29-1141,Registered Nurses,Registered Nurse
4178,English major,Katy Beebe,False,,
4179,realtor,Jason Karpf,False,,
995,senior,Mike Grant,TournSenior,TournStudent,Senior
1962,arts administrator,Bob Mesko,False,,
997,senior,Richard Morris,TournSenior,TournStudent,Senior
996,senior,Avi Stadler,TournSenior,TournStudent,Senior
991,English teacher,Chris Mullins,25-MiscTeacher,Teacher,Teacher
990,medical research technician,Terry Swart,False,,
993,senior,Wen Shen,TournSenior,TournStudent,Senior
2228,lawyer,Daniel Mendelsohn,23-MiscLaywer,MiscLawer,MiscLawyer
2229,graphic designer,Matt Smith,27-1024,Graphic Designers,Graphic Designer
2226,freelance writer,Patrick Kerr,27-Writer,MiscWriter,Writer
2227,actor,Ron Ostrow,27-2099CU,Actor,Actor
2224,college student,Scott Olsen,MiscStudent,MiscStudent,Student
2225,internal auditor,Robin Klenke,13-2011,Accountants and Auditors,Internal Auditor
2222,director of network management,Robert Vinson,False,,
2223,actor and musician,Liz Zoller,27-2099CU,Actor,Actor
2220,waitress,Gaby McNicoll,False,,
2221,apartment manager,Ben Tritle,11-9141,"Property, Real Estate, and Community Association Managers",Apartment Manager
1,software engineer,Ken Jennings,17-MiscEngineer,MiscEngineer,Engineer
5925,legislative aide,Dan Pawson,False,,
5926,actress,Elizabeth Perkins,27-2099CU,Actor,Actor
5927,Emmy Award-winning host,Tom Bergeron,False,,
5920,administrative associate,Stephanie Herndon,False,,
5921,journalist,Barry Petchesky,False,,
5922,logistics manager,Dana Sause,11-3071,"Transportation, Storage, and Distribution Managers",Logistics Manager
5923,investor,Carl Brandt,False,,
5928,"comedienne, host and actress",Aisha Tyler,27-2099CU,Actor,Actor
5929,substitute teacher and grad student,Tom Morris,25-MiscTeacher,Teacher,Teacher
999,junior,Jamie Weiss,TournJunior,TournStudent,Junior
8113,director of operations,Jen Ruth,False,,
998,senior,Sharon Kristal,TournSenior,TournStudent,Senior
4505,corporate librarian,Carolyn Weddell,False,,
