PlayerID,Occupation,Name,MatchedSocCode,MatchedSocCore,MatchedSocTitle
8965,high-school history teacher,Matt Kish,False,,
8964,contract attorney and stay-at-home mom,Jessica Rebel,False,,
6441,magazine editor,Jaime Mahoney,False,,
1645,voice talent,Julie Seitter,False,,
1644,journalist,Jimmy Orsag,False,,
1647,journalist,Emily Krucoff,False,,
1646,procurement analyst,John Brett,False,,
1641,manuscript cataloguer,Catherine Williamson,False,,
1640,professor of English,Fred Moten,False,,
1643,assistant dean,Jessica Epstein,False,,
1642,bartender,Tim Logue,35-3011,Bartenders,Bartender
1649,college history professor,Melanie Perreault,False,,
1648,attorney,Amit Bose,23-1011,Lawyers,Attorney
579,college administrator,Dan Milliman,False,,
578,researcher,Bill McCulla,False,,
573,budget analyst,Trevor Norris,13-2031,Budget Analysts,Budget Analyst
572,legal assistant,Phil Yellman,23-2011,Paralegals and Legal Assistants,Legal Assistant
571,bartender,Kim Mihalick,35-3011,Bartenders,Bartender
570,homemaker and writer,Victoria Esser,False,,
577,senior,Scott Gillispie,False,,
576,senior,Kimberly Bartlett,False,,
575,senior,Franco Recchia,False,,
574,actuarial technician,Josh DenHartog,False,,
2808,actor/writer/producer,Harry Shearer,False,,
2809,fashion designer,Isaac Mizrahi,27-1022,Fashion Designers,Fashion Designer
4956,grad student,Larissa Kelly,False,,
2802,mathematician,David Forman,15-2021,Mathematicians,Mathematician
2803,medical student,Tom Ayala,False,,
2800,homemaker,Rachel Berson,False,,
2801,product manager,John Foster,False,,
